ИРКУТСК,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Текила Эсполон Репосадо 0,75 л",6350,,3000,,,,,,,,,4000,2600
"Текила Эсполон Бланко 0,75 л",6350,,3000,,,,,,,,,4000,2500
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА БЛАНКО 40% 0,75Л",,нет в наличии,3000,,,,,,,,,4000,1950
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА РЕПОСАДО 40% 0,75Л",,нет в наличии,3000,,,,,,,,,4000,2000
"Текила Хосе Куэрво Эспесиаль Сильвер 0,7 л",,нет в наличии,нет в наличии,,,,,,,,,3500,1650
"Спиртной напиток ТЕКИЛА СИЛЬВЕР ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет в наличии,нет,,,,,,,,,2700,1000
"Спиртной напиток ТЕКИЛА ГОЛД ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет в наличии,нет,,,,,,,,,2700,1100
,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Джин БАРРИСТЕР ДРАЙ 40% 0,5Л",1790,бристоль,560,,,,,,,,,1400,460
"Джин БРИСТОЛЛС 40% 0,7Л",2150,бристоль,750,,,,,,,,,1700,700
"Джин ГОРДОНС 37,5% СУХ. 0,7Л",4480,,2000,,,,,,,,,2800,1300
"Спиртной напиток на основе джина ГОРДОНС ПИНК 37,5% 0,7Л",5790,бристоль,2700,,,,,,,,,3200,2000
"Джин Финч Мэджик Аладдин 0,5 л",,нет,нет,,,,,,,,,1500,350
"Джин ОуБиЭс Обсешн 0,7 л",,нет,нет,,,,,,,,,2100,900
"Джин ХЕНДРИКС 44% 0,7Л",,нет в наличии,нет,,,,,,,,,4900,3999
,,,,,,,,,,,,,
ЛИКЕР,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ликер десертный ЛИМОНЧЕЛЛО 18% 0,5Л",1300,бристоль,300,,,,,,,,,1400,480
"Спиртной напиток десертный АПЕРОЛЬ 11% СЛ. 0,7Л",4110,,1800,,,,,,,,,2700,1490
"Ликер десертный КАМПАРИ 25% 0,75Л",4480,,2000,,,,,,,,,2800,1890
"Ликер десертный ЯГЕРМАЙСТЕР 35% 0,7Л",4480,,2000,,,,,,,,,3000,1990
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ХАНИ ЛИКЕР 35% 0,7Л",5600,бристоль,2600,,,,,,,,,3200,2200
